"Município","ibge","latitude","longitude","/Exportações/Total 2010 (US$ FOB)","/Exportações/Total 2011 (US$ FOB)","/Exportações/Total 2012 (US$ FOB)","/Exportações/Total 2013 (US$ FOB)","/Exportações/Total 2014 (US$ FOB)","/Exportações/Total 2015 (US$ FOB)","/Exportações/Total 2016 (US$ FOB)","/Exportações/Total 2017 (US$ FOB)","/Exportações/Total 2018 (US$ FOB)","/Exportações/Total 2019 (US$ FOB)","/Exportações/Total 2020 (US$ FOB)","/Exportações/Total 2021 (US$ FOB)"
"Butiá","4302709","-30.117899999990","-51.960099999990","558.457","388.258","1.528.621","870.066","517.520","30.626","174.004","83.840","-","68.526","211.113","232.283"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","551.543","415.708","460.253","762.545","353.945","407.090","753.709","778.727","521.855","784.234","693.900","899.415"
"Cacequi","4302907","-29.888300000000","-54.822000000000","-","-","-","20.588","-","-","-","-","-","-","573.559","-"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","9.131.528","85.146.635","100.614.262","108.960.827","23.044.147","136.850.388","58.230.755","18.935.068","12.876.263","6.793.238","8.089.732","23.002.530"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","43.153.399","49.906.438","54.261.306","49.332.570","50.614.728","41.067.266","34.030.079","45.606.767","34.116.543","35.996.123","29.531.393","36.163.146"
"Caibaté","4303301","-28.290500000000","-54.645400000000","-","-","-","250.000","-","60.000","-","-","-","-","-","309"
"Camaquã","4303509","-30.848900000000","-51.804299999990","24.342.596","41.069.479","37.952.429","24.173.349","22.731.404","24.211.714","23.816.754","26.119.917","26.795.414","42.862.178","124.142.602","72.634.812"
"Camargo","4303558","-28.588000000000","-52.200299999990","-","-","-","-","-","-","-","439.554","126.192","204.564","73.304","104.172"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","7.981.102","6.813.610","4.667.301","7.262.831","9.414.545","9.458.865","10.942.849","12.840.023","13.136.561","12.677.936","12.014.253","17.222.329"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","-","-","18.213","19.614","-","-","-","-","5.000","10.610","-","25.872"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","195.302.307","140.606.317","84.532.048","83.880.090","73.918.558","69.395.474","90.473.294","74.928.620","76.470.343","67.161.595","48.815.764","74.715.650"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","-","3.693.500","-","-","-","-","-","-","-","-","-","-"
"Campos Borges","4304101","-28.887100000000","-53.000799999990","-","-","-","-","-","-","-","-","-","94.000","-","480.112"
"Candelária","4304200","-29.668399999990","-52.789499999990","126.867","957.116","1.094.119","1.532.496","2.339.357","2.592.202","2.365.039","2.656.041","2.364.531","2.189.305","2.045.749","2.023.300"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","1.026.536","1.186.604","225.491","985.943","1.312.607","324.342","437.855","739.998","1.548.107","1.125.270","2.410.175","1.721.598"
"Candiota","4304358","-31.551500000000","-53.677300000000","-","-","-","-","-","-","-","-","-","161.186","846.524","70.917"
"Canela","4304408","-29.356000000000","-50.811900000000","1.951.333","2.142.945","2.136.804","1.858.476","1.804.360","1.561.575","2.594.635","3.404.652","3.333.042","5.851.654","2.158.729","3.701.531"
"Canguçu","4304507","-31.396000000000","-52.678199999990","-","-","-","-","-","-","-","-","-","3","-","-"
"Canoas","4304606","-29.912800000000","-51.185699999990","615.894.329","857.602.047","624.988.427","859.816.709","843.986.633","513.347.203","370.685.285","371.364.785","209.669.429","195.615.339","130.623.341","226.574.423"
